Province/State,Country/Region,Lat,Long,1/15/20,1/16/20,1/17/20,1/18/20,1/19/20,1/20/20,1/21/20,1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20,5/2/20,5/3/20,5/4/20,5/5/20,5/6/20,5/7/20,5/8/20,5/9/20,5/10/20,5/11/20,5/12/20,5/13/20,5/14/20,5/15/20,5/16/20,5/17/20,5/18/20,5/19/20,5/20/20,5/21/20,5/22/20,5/23/20,5/24/20,5/25/20,5/26/20,5/27/20,5/28/20,5/29/20,5/30/20,5/31/20,6/1/20,6/2/20,6/3/20,6/4/20,6/5/20,6/6/20,6/7/20,6/8/20,6/9/20,6/10/20,6/11/20,6/12/20,6/13/20,6/14/20,6/15/20,6/16/20,6/17/20,6/18/20,6/19/20,6/20/20,6/21/20,6/22/20,6/23/20,6/24/20,6/25/20,6/26/20,6/27/20,6/28/20,6/29/20,6/30/20,7/1/20,7/2/20,7/3/20,7/4/20,7/5/20,7/6/20,7/7/20,7/8/20,7/9/20,7/10/20,7/11/20,7/12/20,7/13/20,7/14/20,7/15/20,7/16/20,7/17/20,7/18/20,7/19/20,7/20/20,7/21/20,7/22/20,7/23/20,7/24/20,7/25/20,7/26/20,7/27/20,7/28/20,7/29/20,7/30/20,7/31/20,8/1/20,8/2/20,8/3/20
Kanagawa,Japan,35.4142,35.4142,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,4,4,4,5,7,8,10,13,17,17,18,18,20,24,25,25,27,32,33,33,37,42,43,43,43,45,50,51,52,53,57,60,62,66,71,74,77,79,79,87,92,101,114,126,130,142,160,186,218,243,268,270,290,348,381,435,477,536,562,574,605,650,699,738,780,798,804,830,862,899,928,951,968,969,991,1012,1032,1061,1090,1107,1121,1129,1139,1149,1153,1163,1175,1182,1198,1216,1242,1258,1269,1279,1281,1297,1309,1318,1326,1333,1336,1336,1337,1350,1352,1369,1372,1373,1374,1377,1382,1388,1399,1400,1401,1402,1402,1402,1404,1413,1415,1418,1420,1425,1431,1433,1437,1440,1440,1441,1443,1449,1453,1460,1464,1475,1482,1517,1525,1543,1563,1588,1600,1609,1625,1648,1679,1709,1742,1761,1779,1816,1864,1905,1960,1990,2012,2040,2080,2149,2194,2205,2232,2257,2280,2296,2296,2296,2296,2296,2296,2296
Tokyo,Japan,35.0183,35.0183,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,6,14,19,19,22,25,25,28,29,29,32,32,35,36,36,37,39,39,40,44,52,58,64,64,64,67,73,75,77,87,90,90,102,111,122,129,136,139,155,173,214,260,300,364,436,448,526,593,691,783,901,1042,1127,1214,1370,1553,1752,1950,2124,2226,2385,2512,2663,2869,3055,3164,3265,3388,3511,3645,3815,3934,4016,4057,4170,4217,4276,4441,4597,4690,4777,4834,4871,4894,4933,4969,4991,5006,5034,5044,5074,5083,5097,5102,5112,5117,5122,5133,5136,5138,5152,5160,5170,5181,5196,5218,5232,5237,5250,5284,5296,5324,5344,5370,5384,5397,5409,5426,5448,5473,5497,5544,5592,5619,5635,5676,5711,5750,5785,5814,5845,5900,5948,6002,6059,6119,6177,6231,6298,6405,6529,6660,6771,6873,6979,7054,7278,7521,7727,7933,8053,8196,8361,8647,8940,9230,9418,9586,9823,10061,10427,10687,10982,11221,11352,11618,11868,12235,12698,13170,13462,13720
Aichi,Japan,35.0344,35.0344,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,4,5,6,7,8,9,11,15,17,17,20,25,27,28,29,32,32,41,49,57,62,69,80,86,99,104,111,114,121,121,123,125,130,134,139,141,143,145,148,154,157,160,164,167,170,179,183,190,202,222,229,240,261,281,303,316,326,331,337,347,359,372,382,401,411,421,439,455,465,475,476,477,479,484,486,490,490,491,494,495,498,498,498,499,501,501,503,503,504,506,507,509,509,509,509,509,509,509,510,510,510,510,510,510,511,511,511,511,512,512,513,513,514,514,514,514,516,516,518,519,519,521,522,524,524,525,526,526,526,526,526,526,526,526,526,528,528,528,528,528,528,528,530,531,532,532,532,534,534,538,542,564,584,604,628,645,676,732,818,885,981,1083,1139,1244,1407,1563,1761,1949,2081,2228,2278
Nara,Japan,34.3156,34.3156,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,4,4,6,7,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,11,11,11,13,17,20,21,24,26,27,28,30,34,38,42,43,46,51,55,56,60,62,63,72,75,76,77,77,78,79,80,82,83,86,86,87,87,87,88,89,90,90,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,93,95,96,97,99,102,104,112,115,122,126,130,137,143,151,153,156,163,169,184,192,201,205,209,216,220,228,239,262,264,264,264
Hokkaido,Japan,43.4672,43.4672,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,3,5,5,8,18,26,30,36,39,54,66,70,73,77,79,83,86,93,99,105,112,121,130,132,142,146,150,152,152,155,158,158,161,162,163,166,167,168,172,172,176,177,179,183,188,192,193,194,198,208,208,231,251,265,271,285,291,333,353,390,422,446,458,499,519,569,600,634,651,680,732,763,795,834,863,885,897,912,925,934,945,966,976,979,986,992,996,1010,1013,1015,1016,1021,1025,1035,1047,1052,1057,1067,1074,1079,1080,1088,1091,1095,1099,1102,1103,1110,1117,1120,1126,1131,1138,1148,1161,1164,1171,1176,1182,1186,1188,1193,1196,1199,1199,1201,1210,1217,1221,1224,1238,1248,1263,1268,1271,1275,1276,1276,1278,1278,1281,1284,1287,1290,1295,1297,1308,1317,1323,1328,1339,1348,1353,1363,1367,1376,1377,1389,1390,1398,1400,1406,1413,1428,1444,1467,1478,1478
Osaka,Japan,34.6228,34.6228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,5,5,5,7,9,18,19,32,42,56,56,74,81,90,93,103,107,109,113,118,120,124,126,132,135,143,150,157,177,192,209,217,245,279,312,347,388,409,429,482,525,617,697,767,812,836,895,969,1021,1076,1164,1212,1297,1351,1382,1417,1448,1477,1493,1523,1555,1599,1627,1641,1658,1669,1682,1682,1697,1706,1716,1732,1743,1744,1751,1763,1766,1769,1770,1770,1771,1777,1780,1780,1784,1784,1784,1784,1784,1785,1785,1785,1785,1786,1786,1786,1786,1786,1786,1787,1788,1788,1788,1788,1788,1788,1788,1790,1790,1793,1797,1801,1803,1809,1812,1812,1812,1814,1815,1817,1819,1824,1831,1836,1846,1854,1865,1882,1888,1896,1908,1918,1949,1971,1999,2031,2049,2069,2130,2196,2249,2335,2424,2473,2545,2666,2769,2918,3050,3191,3278,3433,3654,3844,4060,4255,4449,4531
unresolved,Japan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,4,4,4,6,7,7,8,8,8,8,8,8,8,8,8,8,9,9,10,12,12,12,12,14,14,14,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
Chiba,Japan,35.5128,35.5128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,3,3,4,5,5,5,5,5,6,6,6,7,7,7,7,7,7,7,8,11,13,13,13,15,16,16,16,16,17,17,18,18,19,23,24,25,25,28,30,32,35,35,35,35,37,39,45,46,46,51,52,57,61,67,72,134,164,178,190,197,213,242,273,284,296,333,367,396,437,477,494,510,544,598,632,664,683,708,727,748,770,789,799,808,815,823,829,839,842,848,853,858,859,861,866,869,872,872,875,876,878,878,880,888,888,890,890,893,894,894,894,894,894,894,895,896,896,896,898,898,899,899,899,900,900,903,904,907,909,911,914,915,915,915,915,917,918,918,920,920,921,923,929,933,935,940,943,947,954,961,972,982,996,1003,1010,1023,1032,1045,1056,1071,1100,1120,1148,1171,1203,1221,1253,1275,1294,1319,1347,1384,1410,1425,1448,1472,1496,1549,1595,1635,1714,1767,1794,1794
Mie,Japan,34.5136,34.5136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,7,7,7,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,11,11,12,13,13,13,13,13,13,13,15,15,17,17,17,19,21,26,33,35,36,39,41,43,44,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,47,48,50,50,50,51,54,55,55,56,57,58,59,61,63,64,70,74,77,85,90,100,101,101,101,101
Kyoto,Japan,35.2519,35.2519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,5,6,7,8,8,12,13,15,17,17,17,17,17,19,21,21,22,23,24,25,27,31,34,35,40,47,67,69,76,88,106,119,125,133,149,155,166,175,181,195,205,210,216,226,235,246,251,259,264,278,284,286,290,295,309,313,317,320,324,331,332,335,339,342,348,349,353,353,353,357,358,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,359,360,360,361,361,361,361,361,361,361,361,364,364,364,365,366,366,366,366,366,367,371,375,376,380,382,385,388,392,401,402,405,414,416,421,431,441,450,458,470,478,492,508,530,544,571,590,610,625,642,645,658,676,710,749,759,791,808,808,808
